Time,Amount,Class
10,15.57,0
18,67.33,0
17,415.76,0
7,111.9,0
2,4433.62,1
17,493.83,0
21,91.38,0
11,70.24,0
2,2061.47,1
16,372.15,0
14,36.46,0
3,259.05,0
3,4132.91,1
0,231.73,0
12,242.1,0
22,58.44,0
2,41.38,0
4,78.43,0
17,318.37,0
19,193.55,0
19,229.59,0
3,397.58,0
17,327.2,0
14,111.44,0
14,209.84,0
10,366.16,0
11,334.23,0
15,344.98,0
2,416.73,0
11,373.57,0
18,280.4,0
21,283.03,0
21,180.03,0
23,214.35,0
9,147.38,0
6,291.07,0
3,243.68,0
3,280.35,0
13,289.18,0
19,487.4,0
0,323.14,0
22,330.63,0
22,94.31,0
4,4479.45,1
23,39.44,0
23,20.18,0
14,191.22,0
23,188.18,0
19,471.0,0
5,31.04,0
2,29.63,0
15,332.66,0
6,210.02,0
13,61.34,0
18,340.72,0
1,335.23,0
2,2205.68,1
8,384.84,0
15,64.39,0
12,91.97,0
17,118.9,0
2,404.07,0
3,4684.65,1
18,290.0,0
9,321.87,0
10,15.32,0
14,474.07,0
2,460.29,0
13,57.4,0
12,264.36,0
7,374.17,0
16,88.23,0
6,267.65,0
23,177.94,0
4,324.49,0
6,77.49,0
20,80.67,0
20,475.89,0
18,378.45,0
18,462.46,0
10,493.33,0
4,315.47,0
20,237.12,0
1,140.96,0
14,41.72,0
9,33.16,0
2,432.8,0
14,256.0,0
23,477.34,0
18,227.62,0
15,164.16,0
14,479.07,0
10,450.07,0
20,46.74,0
14,127.63,0
19,264.41,0
9,189.56,0
21,388.36,0
20,395.67,0
17,168.2,0
23,145.65,0
19,482.38,0
18,170.01,0
9,458.79,0
12,350.75,0
2,355.87,0
10,191.46,0
23,336.71,0
2,456.66,0
2,2235.46,1
15,174.16,0
4,499.99,0
3,422.99,0
23,272.19,0
10,23.69,0
19,310.93,0
22,85.31,0
5,405.48,0
11,26.63,0
14,122.58,0
14,377.43,0
15,123.39,0
21,101.04,0
14,492.3,0
16,390.17,0
6,483.3,0
8,73.51,0
11,242.89,0
16,55.78,0
5,146.11,0
4,453.13,0
7,50.4,0
0,442.89,0
11,201.24,0
11,497.29,0
3,162.75,0
4,326.73,0
15,147.01,0
22,73.7,0
2,1862.62,1
23,276.66,0
9,214.51,0
7,65.31,0
14,397.98,0
15,419.16,0
16,13.14,0
9,360.68,0
7,309.33,0
21,97.72,0
2,487.45,0
16,274.32,0
3,2547.53,1
0,130.56,0
7,38.44,0
18,315.99,0
1,169.6,0
20,172.58,0
14,390.68,0
5,241.87,0
2,1806.36,1
10,443.47,0
17,260.11,0
20,23.13,0
1,181.7,0
3,169.3,0
12,221.29,0
12,447.85,0
22,97.47,0
16,462.53,0
13,45.89,0
5,303.21,0
2,164.0,0
14,151.34,0
22,215.93,0
23,226.33,0
13,179.52,0
1,490.11,0
11,320.57,0
5,376.2,0
19,75.68,0
4,221.9,0
11,390.37,0
1,474.99,0
11,341.14,0
18,382.73,0
10,186.64,0
4,1744.19,1
3,457.2,0
14,133.84,0
22,307.88,0
3,248.14,0
5,41.66,0
2,225.33,0
10,483.94,0
17,356.22,0
5,446.21,0
20,464.03,0
7,183.94,0
4,104.49,0
11,249.54,0
17,187.61,0
2,442.7,0
23,499.8,0
13,208.34,0
10,41.51,0
21,227.74,0
17,68.53,0
4,95.07,0
1,455.8,0
9,261.46,0
22,164.72,0
16,474.0,0
8,423.74,0
8,478.39,0
17,154.9,0
18,322.29,0
21,81.33,0
10,451.49,0
0,283.99,0
18,474.53,0
18,109.35,0
15,321.3,0
20,275.06,0
21,244.06,0
22,229.5,0
15,222.6,0
4,173.4,0
23,360.59,0
12,175.96,0
17,188.42,0
3,124.66,0
3,127.72,0
19,472.97,0
5,481.53,0
23,467.21,0
15,382.75,0
9,236.07,0
12,49.57,0
6,483.51,0
9,29.09,0
20,441.76,0
0,146.45,0
8,218.31,0
2,1204.63,1
9,184.45,0
17,254.61,0
21,494.6,0
3,68.69,0
10,398.47,0
4,185.98,0
3,1155.66,1
16,402.96,0
16,305.1,0
10,466.03,0
23,495.35,0
16,298.89,0
22,268.51,0
0,240.07,0
13,338.53,0
23,399.39,0
19,316.48,0
18,483.7,0
18,362.09,0
23,264.5,0
4,421.38,0
18,124.89,0
0,59.4,0
13,212.3,0
19,208.14,0
23,437.04,0
16,354.36,0
21,165.9,0
5,191.53,0
17,268.9,0
23,387.13,0
8,402.81,0
7,100.17,0
9,152.76,0
22,353.93,0
11,161.94,0
23,467.57,0
21,65.33,0
12,448.4,0
4,477.53,0
22,147.38,0
20,462.38,0
6,242.14,0
17,139.21,0
19,72.95,0
1,123.44,0
20,267.87,0
10,54.6,0
2,3201.41,1
15,206.42,0
9,103.73,0
2,324.72,0
23,119.95,0
5,468.65,0
1,419.61,0
15,201.51,0
9,375.76,0
18,9.59,0
10,464.59,0
17,494.6,0
4,445.18,0
6,236.67,0
23,168.69,0
3,2348.45,1
6,286.05,0
12,428.79,0
2,260.06,0
4,52.22,0
0,468.23,0
8,121.58,0
23,154.46,0
11,134.47,0
3,35.75,0
21,84.06,0
22,448.08,0
20,346.69,0
19,151.04,0
15,478.89,0
19,375.13,0
15,352.46,0
6,401.99,0
19,341.77,0
14,45.53,0
18,184.08,0
16,415.24,0
5,270.65,0
3,262.57,0
15,359.87,0
1,257.64,0
14,259.06,0
21,281.6,0
12,363.02,0
6,6.49,0
11,27.42,0
1,272.88,0
2,2635.47,1
23,384.08,0
12,213.08,0
12,458.97,0
21,342.95,0
11,70.83,0
12,496.46,0
7,365.29,0
9,379.31,0
13,360.95,0
7,412.56,0
6,81.79,0
1,3640.79,1
2,124.13,0
19,21.62,0
7,436.75,0
7,204.12,0
1,378.42,0
7,496.77,0
10,367.1,0
10,387.41,0
21,438.75,0
8,209.71,0
23,474.52,0
13,314.87,0
11,28.21,0
16,337.31,0
4,211.08,0
17,96.02,0
9,425.42,0
14,76.45,0
13,283.38,0
7,71.38,0
2,168.48,0
2,424.33,0
1,415.56,0
2,1291.14,1
10,242.3,0
6,454.95,0
3,481.23,0
7,378.39,0
12,353.37,0
9,278.28,0
11,269.16,0
15,183.02,0
23,402.39,0
6,420.67,0
18,209.9,0
0,371.92,0
18,467.71,0
6,151.12,0
7,193.02,0
21,329.03,0
15,382.86,0
15,322.64,0
11,367.72,0
15,361.56,0
20,445.24,0
2,264.35,0
0,335.77,0
7,422.06,0
6,79.76,0
19,189.73,0
15,467.28,0
17,12.79,0
16,10.87,0
4,4252.63,1
5,404.05,0
4,52.68,0
8,311.79,0
12,137.33,0
14,479.85,0
7,495.17,0
2,414.89,0
1,429.82,0
17,192.74,0
22,320.19,0
13,252.43,0
3,168.98,0
7,459.98,0
18,434.72,0
2,28.05,0
17,143.78,0
2,1828.63,1
22,377.37,0
9,464.79,0
12,124.03,0
12,272.58,0
22,74.28,0
11,252.89,0
2,221.36,0
19,385.66,0
0,387.91,0
14,392.86,0
12,181.13,0
21,341.45,0
9,387.22,0
2,357.99,0
20,193.1,0
11,197.86,0
9,7.57,0
3,381.87,0
14,97.76,0
1,2415.66,1
10,300.48,0
13,11.11,0
17,46.93,0
18,489.2,0
5,344.23,0
15,154.06,0
8,87.77,0
2,244.69,0
23,472.39,0
6,298.93,0
0,72.07,0
19,169.45,0
14,431.79,0
20,408.66,0
10,72.38,0
15,349.17,0
10,482.46,0
15,349.0,0
10,392.08,0
12,409.16,0
6,466.37,0
21,275.09,0
23,18.32,0
14,355.64,0
2,416.48,0
13,398.85,0
9,73.89,0
22,331.04,0
14,191.61,0
12,242.22,0
22,462.13,0
11,23.2,0
19,407.09,0
7,47.07,0
20,180.73,0
20,283.79,0
10,202.81,0
0,218.08,0
23,114.89,0
18,292.36,0
14,190.19,0
16,296.35,0
15,498.86,0
2,210.91,0
4,470.63,0
6,174.82,0
3,177.41,0
10,349.9,0
22,27.12,0
20,425.34,0
23,401.02,0
5,91.35,0
14,216.05,0
5,205.5,0
2,3456.43,1
13,227.54,0
6,353.84,0
2,353.36,0
17,400.75,0
14,166.36,0
15,337.0,0
19,321.36,0
3,199.31,0
19,423.53,0
9,338.43,0
21,297.13,0
9,63.34,0
4,189.79,0
4,212.03,0
15,214.4,0
20,348.25,0
5,90.75,0
10,74.45,0
11,311.61,0
6,244.88,0
16,482.1,0
15,207.52,0
15,420.75,0
7,284.87,0
17,141.05,0
18,391.47,0
17,384.13,0
8,288.49,0
11,412.52,0
23,379.61,0
13,113.18,0
7,415.89,0
14,499.66,0
2,431.79,0
7,497.01,0
22,370.12,0
20,356.82,0
6,309.99,0
18,403.69,0
17,144.14,0
9,489.61,0
16,137.33,0
3,341.25,0
13,376.3,0
20,496.28,0
7,433.71,0
7,164.44,0
15,339.74,0
20,318.04,0
20,228.74,0
12,385.6,0
11,142.72,0
1,4096.54,1
14,366.81,0
2,350.16,0
13,201.87,0
10,249.88,0
18,172.19,0
10,426.95,0
1,382.32,0
2,4717.73,1
0,223.44,0
22,216.76,0
9,441.66,0
8,466.7,0
2,183.42,0
5,452.38,0
23,314.67,0
20,120.9,0
6,52.12,0
7,70.69,0
0,225.31,0
13,409.47,0
7,241.46,0
3,366.73,0
9,186.94,0
4,387.86,0
2,340.18,0
20,9.19,0
6,178.84,0
13,79.93,0
6,223.98,0
3,54.73,0
13,195.1,0
8,74.22,0
19,127.84,0
3,4388.28,1
19,106.7,0
9,375.18,0
7,392.98,0
15,60.81,0
0,40.15,0
4,467.29,0
13,420.29,0
15,343.06,0
0,386.33,0
4,1241.88,1
20,255.77,0
13,384.72,0
17,45.8,0
2,80.58,0
6,258.1,0
10,81.91,0
20,318.98,0
22,37.73,0
7,476.95,0
13,47.68,0
1,308.09,0
23,372.14,0
4,11.27,0
11,86.1,0
23,392.58,0
23,189.08,0
3,138.04,0
13,19.53,0
22,36.62,0
15,315.63,0
15,183.26,0
5,87.61,0
18,55.94,0
23,62.09,0
0,26.8,0
12,238.52,0
1,93.59,0
23,457.4,0
7,116.14,0
8,361.54,0
3,287.91,0
5,451.46,0
